,Open,High,Low,Close,Volume,Date
2021-02-01,169.59731232567032,170.36339705424777,166.00399225418178,168.46641540527344,2738200,2021-02-01
2021-02-02,170.0897568343522,175.817174878806,169.30542817648572,175.5618133544922,5265400,2021-02-02
2021-02-03,174.1117537338218,174.67719522504393,172.42453043005258,174.60423278808594,2979000,2021-02-03
2021-02-04,175.1058299961449,175.6621563668416,173.46421005669882,174.78662109375,2253800,2021-02-04
2021-02-05,175.58007685093023,177.2308118570864,173.290924047249,176.01783752441406,2240000,2021-02-05
2021-02-08,177.84185812409396,180.15835620424053,177.54089330963694,180.07627868652344,2725700,2021-02-08
2021-02-09,180.15835159247038,181.1798117016146,177.74153196937155,179.92123413085938,2331600,2021-02-09
2021-02-10,181.03387602411462,182.1374135829387,178.99096984405014,180.322509765625,2816400,2021-02-10
2021-02-11,180.20394338137072,180.9609128926917,177.2855159327691,180.89707946777344,2178200,2021-02-11
2021-02-12,180.55965761870414,181.27102399698546,179.4470047878206,180.56878662109375,1804200,2021-02-12
2021-02-16,182.17387485094068,187.12607913709488,181.7087550739044,184.5724639892578,3722700,2021-02-16
2021-02-17,184.58163502485777,185.04675494288415,182.21040433604506,184.4995574951172,2290400,2021-02-17
2021-02-18,183.81548285617032,185.0284569324452,181.10681403850344,182.3289031982422,2345800,2021-02-18
2021-02-19,185.36592448807713,192.85352834819673,184.86431649712827,191.43991088867188,4937300,2021-02-19
2021-02-22,191.1845541425515,199.6115129370621,190.92006359698567,198.87278747558594,4578300,2021-02-22
2021-02-23,200.21345850503914,201.31699620077438,194.5133987290879,200.80625915527344,4125100,2021-02-23
2021-02-24,201.01602273699768,206.7251973534488,200.53265880206013,202.89476013183594,4925000,2021-02-24
2021-02-25,203.94356216173836,204.65492846620612,200.38673063939953,202.3019561767578,4313000,2021-02-25
2021-02-26,201.32611040060186,202.830920608366,196.82990994887595,196.88462829589844,4461300,2021-02-26
2021-03-01,200.01281625082495,202.9950914364895,199.63888898784307,200.4232177734375,2871200,2021-03-01
2021-03-02,199.44734234372365,200.04014290043034,196.09114044075594,196.8298797607422,2854300,2021-03-02
2021-03-03,193.473684150811,198.407658614793,193.3551184691494,195.9999542236328,2664000,2021-03-03
2021-03-04,195.60777660697883,197.60507946440484,190.12660499974075,194.04824829101562,3568400,2021-03-04
2021-03-05,195.48009295627537,201.35343576393404,192.88998958027656,200.78799438476562,3602300,2021-03-05
2021-03-08,201.52674249004218,204.56373582755887,199.00960125285897,202.08306884765625,3048700,2021-03-08
2021-03-09,201.90068411115809,202.76709042393753,197.12174892965388,197.7236785888672,2902400,2021-03-09
2021-03-10,198.57183226055164,202.5117201335234,198.07935323451073,201.60882568359375,2435800,2021-03-10
2021-03-11,203.37813378533863,203.92534509292975,199.8668913799791,200.4232177734375,2960000,2021-03-11
2021-03-12,199.73004983293959,208.8683875163409,198.92747714299725,208.8501434326172,4756500,2021-03-12
2021-03-15,208.73159042552615,211.403785248745,205.95908792613773,210.4370574951172,4215300,2021-03-15
2021-03-16,207.68281844384313,210.86573682307818,204.99239302083478,206.53369140625,3539200,2021-03-16
2021-03-17,208.05670236324636,213.68379851518594,207.14469299179117,213.07275390625,3518500,2021-03-17
2021-03-18,213.41020214258066,216.85759660236036,209.52504706210996,210.38232421875,4336200,2021-03-18
2021-03-19,208.62215726394308,209.4429601850751,204.33571572306334,205.4665985107422,7485100,2021-03-19
2021-03-22,206.67958258872667,207.1903056676898,203.8979648253624,206.13238525390625,2211600,2021-03-22
2021-03-23,202.5207890784848,205.42098597691574,197.58681527584713,199.04603576660156,4017600,2021-03-23
2021-03-24,201.10720703631466,207.126475219007,201.10720703631466,201.76385498046875,4258000,2021-03-24
2021-03-25,199.9398508377616,205.17479069306074,197.03053813084748,204.5181427001953,2901800,2021-03-25
2021-03-26,206.43335846695066,209.6162627553182,205.3936681806258,209.30618286132812,3040100,2021-03-26
2021-03-29,208.02938900852456,211.4494249046566,207.67370583197328,209.9628448486328,3003200,2021-03-29
2021-03-30,210.85659988682016,214.06687731880626,210.80188154177876,212.57118225097656,3139100,2021-03-30
2021-03-31,213.72942966446683,216.15536433290728,208.71337746673262,211.46763610839844,4512300,2021-03-31
2021-04-01,210.94778208662626,214.3222141647111,207.56422100797963,212.26107788085938,3787100,2021-04-01
2021-04-05,214.32228414487747,214.924213899802,211.9236941287219,213.1457977294922,2323400,2021-04-05
2021-04-06,212.04217843825393,215.85437092353823,209.97191327267646,210.34584045410156,2614500,2021-04-06
2021-04-07,211.5497258808613,213.5835031322058,209.16938057267268,210.1361083984375,2449600,2021-04-07
2021-04-08,209.88072571697043,210.71977268720298,207.18117179504745,210.19992065429688,2158900,2021-04-08
2021-04-09,210.94782082599167,211.76862389004344,207.51865586326767,210.4462127685547,2482900,2021-04-09
2021-04-12,210.0357798113037,210.94778926431314,208.78631739769207,210.61033630371094,1688200,2021-04-12
2021-04-13,212.87212869254031,212.9542062030186,207.98375749243277,209.16937255859375,2286400,2021-04-13
2021-04-14,209.39737383541274,213.61085301204366,209.3517705799968,212.1151580810547,2491000,2021-04-14
